ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.7331088532878,-3.25771646677718,6,23.38275,22.79739,22.2845,22.04629,23.42508,0.658682,0.1308526,0.1557607,0.2079465,0.5455183,23.64569,22.80128,22.28492,22.08877,23.38027,0.8000883,0.133998,0.1558382,0.2000614,0.5515859
30.7329274916753,-3.25490043518963,6,24.09363,22.26874,21.89965,22.0545,22.19803,1.344549,0.0834888,0.1105203,0.1920428,0.3924907,24.16167,22.2556,21.90162,22.05054,22.27562,1.053387,0.08567005,0.112133,0.1950401,0.5687516
30.6620358632238,-3.25966454638308,3,25.12158,24.14658,22.79798,22.13469,22.438,0.9953526,0.3730434,0.2408101,0.2007875,0.6019254,25.9908,24.1475,22.55575,21.76889,22.11613,0.8150859,0.5512787,0.2756846,0.2057614,0.7711577
30.6625596828683,-3.31329849159669,6,23.54199,22.05988,21.70536,21.80895,21.30931,0.7254921,0.07170095,0.09031257,0.1472954,0.3317897,23.6563,22.07327,21.72204,21.81879,21.36425,0.7819153,0.07429776,0.09246247,0.1504754,0.3105601
30.6616085571318,-3.32479921115263,6,22.7653,20.7611,19.42348,18.14387,17.50321,0.3956935,0.02999402,0.02222968,0.01759874,0.02130185,22.77671,20.76734,19.41139,18.15113,17.49721,0.4095761,0.02762603,0.01498542,0.00886568,0.01478695
30.7331625952462,-3.16467857249038,3,25.63945,23.81891,23.52832,22.19948,20.9788,0.9246907,0.303138,0.5041971,0.2123105,0.3152073,25.46828,23.28629,22.95854,21.48337,20.43149,1.422315,0.444141,0.5083038,0.2181174,0.3174253
30.7333132911644,-3.16058982840137,3,23.37145,23.3884,22.43893,22.24059,21.22897,1.060508,0.3419703,0.2022709,0.2198637,0.4106747,24.79337,22.51232,21.40112,21.63844,20.45506,2.588613,0.3018247,0.1718183,0.3121881,0.4330584
30.7332471373517,-3.23856280073699,6,24.28761,22.79917,23.00834,21.97899,21.686,1.301767,0.2223607,0.3643253,0.1832578,0.6041619,24.29206,22.84888,23.0506,22.01614,21.72124,1.300061,0.2238379,0.3554362,0.1876167,0.621012
30.7331472144814,-3.2200693648362,6,22.36332,21.35767,21.15531,21.07727,20.78529,0.3377386,0.06347581,0.06835803,0.08160034,0.2853082,22.37942,21.37096,21.16075,21.08704,20.80021,0.3447027,0.06100632,0.06845365,0.08264048,0.2947859
30.7880653440607,-3.19987423657044,3,21.27267,19.63149,18.5489,18.12049,17.66422,0.1149409,0.02886156,0.0219997,0.02305483,0.02553407,20.77323,19.14978,17.94874,17.47479,17.13102,0.1248819,0.01449643,0.008238439,0.007745782,0.01898319
30.6626777646165,-3.21380148686689,6,23.94768,23.93569,23.47398,21.74947,22.14158,2.165873,0.4784014,0.4944145,0.1469934,0.7946188,24.14426,24.0531,23.46687,21.75351,22.27393,1.162841,0.5962481,0.5017493,0.1504528,0.8576754
30.7889084445257,-3.33690723060014,3,24.30482,24.20384,22.78842,21.95194,21.44036,1.054443,0.3828863,0.2221413,0.1655781,0.3076623,24.63069,24.02295,22.50671,21.5756,20.97748,1.435137,0.4670911,0.2310162,0.1575678,0.2961293
30.7880295368837,-3.31951552758795,3,25.20796,24.87795,23.73906,21.84476,22.13345,0.9563757,0.5077528,0.476359,0.1518755,0.4910334,26.17208,24.8152,23.91447,21.50883,21.71106,0.6681524,0.7157807,0.7341675,0.1546322,0.5489566
30.7331978467591,-3.29957380685761,3,22.31013,21.74379,21.03912,20.55306,20.40312,0.2731792,0.05567305,0.05250174,0.05051667,0.1334765,22.07418,21.44212,20.7964,20.33511,20.09394,0.2693051,0.05206179,0.04929536,0.05005769,0.1309815
30.7289086685601,-3.1844361380213,3,22.36506,20.85593,20.67139,20.42534,20.86199,0.400463,0.0478764,0.07158531,0.07093952,0.3639113,21.94642,20.25821,19.94068,19.56321,20.29795,0.3521259,0.0337197,0.0384578,0.03886138,0.3038312
30.7297248593408,-3.16866825228463,3,22.33222,21.71594,21.34979,21.12489,20.68819,0.396542,0.08327629,0.07963711,0.08453309,0.2599119,22.28049,21.72137,21.36635,21.11364,20.65178,0.3192104,0.08194635,0.0814248,0.08485041,0.2570846
30.7905231799539,-3.20747892498557,3,22.68657,22.68434,22.29681,21.41854,21.13732,0.44799,0.1852529,0.1775608,0.1097485,0.3860817,22.05799,22.13219,21.61071,20.87222,20.62733,0.3744101,0.1700199,0.1658861,0.1228549,0.4006082
